id;gemeinde;bezirk;nuts3;bundesland;tourismusregion
20101;Klagenfurt am Wörthersee;Klagenfurt Stadt;Klagenfurt-Villach;Kärnten;Region Klagenfurt
20201;Villach;Villach Stadt;Klagenfurt-Villach;Kärnten;Region Villach
20302;Dellach;Hermagor;Oberkärnten;Kärnten;Nassfeld – Pressegger See/Lesachtal/Weissensee
20305;Hermagor-Pressegger See;Hermagor;Oberkärnten;Kärnten;Nassfeld – Pressegger See/Lesachtal/Weissensee
20306;Kirchbach;Hermagor;Oberkärnten;Kärnten;Nassfeld – Pressegger See/Lesachtal/Weissensee
20307;Kötschach-Mauthen;Hermagor;Oberkärnten;Kärnten;Nassfeld – Pressegger See/Lesachtal/Weissensee
20316;St. Stefan im Gailtal;Hermagor;Oberkärnten;Kärnten;Nassfeld – Pressegger See/Lesachtal/Weissensee
20320;Gitschtal;Hermagor;Oberkärnten;Kärnten;Nassfeld – Pressegger See/Lesachtal/Weissensee
20321;Lesachtal;Hermagor;Oberkärnten;Kärnten;Nassfeld – Pressegger See/Lesachtal/Weissensee
20402;Ebenthal in Kärnten;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Region Klagenfurt
20403;Feistritz im Rosental;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20405;Ferlach;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20409;Grafenstein;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Region Klagenfurt
20412;Keutschach am See;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20414;Köttmannsdorf;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20415;Krumpendorf am Wörthersee;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20416;Ludmannsdorf;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20417;Maria Rain;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20418;Maria Saal;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Region Klagenfurt
20419;Maria Wörth;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20421;Moosburg;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20424;Pörtschach am Wörther See;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20425;Poggersdorf;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Region Klagenfurt
20428;St. Margareten im Rosental;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20432;Schiefling am Wörthersee;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20435;Techelsberg am Wörther See;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20441;Zell;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20442;Magdalensberg;Klagenfurt Land;Klagenfurt-Villach;Kärnten;Kärnten-Mitte
20501;Althofen;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20502;Brückl;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20503;Deutsch-Griffen;St. Veit an der Glan;Unterkärnten;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
20504;Eberstein;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20505;Friesach;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20506;Glödnitz;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20508;Gurk;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20509;Guttaring;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20511;Hüttenberg;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20512;Kappel am Krappfeld;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20513;Klein St. Paul;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20515;Liebenfels;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20518;Metnitz;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20519;Micheldorf;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20520;Mölbling;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20523;St. Georgen am Längsee;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20527;St. Veit an der Glan;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20530;Straßburg;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20531;Weitensfeld im Gurktal;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20534;Frauenstein;St. Veit an der Glan;Unterkärnten;Kärnten;Kärnten-Mitte
20601;Bad Kleinkirchheim;Spittal an der Drau;Oberkärnten;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
20602;Baldramsdorf;Spittal an der Drau;Oberkärnten;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
20603;Berg im Drautal;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20604;Dellach im Drautal;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20605;Großkirchheim;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20607;Flattach;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20608;Gmünd in Kärnten;Spittal an der Drau;Oberkärnten;Kärnten;Katschberg/Lieser- und Maltatal
20609;Greifenburg;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20610;Heiligenblut am Großglockner;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20611;Irschen;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20613;Kleblach-Lind;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20616;Lendorf;Spittal an der Drau;Oberkärnten;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
20618;Mallnitz;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20619;Malta;Spittal an der Drau;Oberkärnten;Kärnten;Katschberg/Lieser- und Maltatal
20620;Millstatt am See;Spittal an der Drau;Oberkärnten;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
20622;Mörtschach;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20624;Mühldorf;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20625;Oberdrauburg;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20627;Obervellach;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20630;Radenthein;Spittal an der Drau;Oberkärnten;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
20631;Rangersdorf;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20632;Rennweg am Katschberg;Spittal an der Drau;Oberkärnten;Kärnten;Katschberg/Lieser- und Maltatal
20633;Sachsenburg;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
20634;Seeboden am Millstätter See;Spittal an der Drau;Oberkärnten;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
20635;Spittal an der Drau;Spittal an der Drau;Oberkärnten;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
20636;Stall;Spittal an der Drau;Oberkärnten;Kärnten;Hohe Tauern – die Nationalpark Region in Kärnten
