jahr;monat;tourismusregion;tourismusjahr;tourismushalbjahr;unterkunft_6;ankuenfte;uebernachtungen
2003;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Gew. Betr. 2/1*;445;1064
2003;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Gew. Betr. 3*;1831;3180
2003;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;1484;4047
2003;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Gew. FEWO;99;312
2003;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Priv. FEWO;243;1726
2003;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Privatquartiere;164;566
2003;11;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Sonstige inkl. Camping;130;565
2003;11;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Gew. Betr. 2/1*;751;1977
2003;11;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Gew. Betr. 3*;2970;7266
2003;11;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;656;1336
2003;11;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Gew. FEWO;289;1081
2003;11;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Priv. FEWO;737;2535
2003;11;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Privatquartiere;644;1927
2003;11;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Sonstige inkl. Camping;517;1413
2003;11;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Gew. Betr. 2/1*;67;93
2003;11;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Gew. Betr. 3*;218;325
2003;11;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;156;164
2003;11;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Priv. FEWO;13;75
2003;11;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Privatquartiere;10;85
2003;11;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Sonstige inkl. Camping;20;159
2003;11;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Gew. Betr. 2/1*;454;1576
2003;11;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Gew. Betr. 3*;1313;2885
2003;11;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;1840;8226
2003;11;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Gew. FEWO;28;144
2003;11;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Priv. FEWO;22;235
2003;11;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Privatquartiere;137;1046
2003;11;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Sonstige inkl. Camping;409;1208
2003;11;Kärnten-Mitte;2003/04;WHJ;Gew. Betr. 2/1*;657;1594
2003;11;Kärnten-Mitte;2003/04;WHJ;Gew. Betr. 3*;891;2338
2003;11;Kärnten-Mitte;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;1177;3819
2003;11;Kärnten-Mitte;2003/04;WHJ;Gew. FEWO;5;40
2003;11;Kärnten-Mitte;2003/04;WHJ;Priv. FEWO;24;354
2003;11;Kärnten-Mitte;2003/04;WHJ;Privatquartiere;34;201
2003;11;Kärnten-Mitte;2003/04;WHJ;Sonstige inkl. Camping;1020;10398
2003;11;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Gew. Betr. 2/1*;45;76
2003;11;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Gew. Betr. 3*;393;1305
2003;11;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;451;3642
2003;11;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Gew. FEWO;10;77
2003;11;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Priv. FEWO;43;461
2003;11;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Privatquartiere;49;379
2003;11;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Sonstige inkl. Camping;62;182
2003;11;Region Klagenfurt;2003/04;WHJ;Gew. Betr. 2/1*;912;1801
2003;11;Region Klagenfurt;2003/04;WHJ;Gew. Betr. 3*;3656;6417
2003;11;Region Klagenfurt;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;5656;7923
2003;11;Region Klagenfurt;2003/04;WHJ;Priv. FEWO;18;98
2003;11;Region Klagenfurt;2003/04;WHJ;Privatquartiere;125;278
2003;11;Region Klagenfurt;2003/04;WHJ;Sonstige inkl. Camping;928;2401
2003;11;Region Villach;2003/04;WHJ;Gew. Betr. 2/1*;524;1758
2003;11;Region Villach;2003/04;WHJ;Gew. Betr. 3*;2233;6416
2003;11;Region Villach;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;8976;23874
2003;11;Region Villach;2003/04;WHJ;Gew. FEWO;988;3680
2003;11;Region Villach;2003/04;WHJ;Priv. FEWO;47;703
2003;11;Region Villach;2003/04;WHJ;Privatquartiere;79;495
2003;11;Region Villach;2003/04;WHJ;Sonstige inkl. Camping;656;1648
2003;11;Wörthersee/Rosental;2003/04;WHJ;Gew. Betr. 2/1*;120;495
2003;11;Wörthersee/Rosental;2003/04;WHJ;Gew. Betr. 3*;1512;2887
2003;11;Wörthersee/Rosental;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;1372;4684
2003;11;Wörthersee/Rosental;2003/04;WHJ;Gew. FEWO;45;264
2003;11;Wörthersee/Rosental;2003/04;WHJ;Priv. FEWO;17;272
2003;11;Wörthersee/Rosental;2003/04;WHJ;Privatquartiere;53;222
2003;11;Wörthersee/Rosental;2003/04;WHJ;Sonstige inkl. Camping;263;2717
2003;12;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Gew. Betr. 2/1*;1132;4161
2003;12;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Gew. Betr. 3*;5269;18840
2003;12;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;8163;39625
2003;12;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Gew. FEWO;3090;16504
2003;12;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Priv. FEWO;3349;18783
2003;12;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Privatquartiere;943;3791
2003;12;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Sonstige inkl. Camping;529;2516
2003;12;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Gew. Betr. 2/1*;2613;12353
2003;12;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Gew. Betr. 3*;6101;27951
2003;12;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;3259;15596
2003;12;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Gew. FEWO;1217;6520
2003;12;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Priv. FEWO;2370;12285
2003;12;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Privatquartiere;1747;7648
2003;12;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Sonstige inkl. Camping;1087;4189
2003;12;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Gew. Betr. 2/1*;437;1446
2003;12;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Gew. Betr. 3*;1954;8364
2003;12;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;4445;21829
2003;12;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Gew. FEWO;197;1391
2003;12;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Priv. FEWO;661;3963
2003;12;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Privatquartiere;147;601
2003;12;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Sonstige inkl. Camping;199;1098
2003;12;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Gew. Betr. 2/1*;910;3005
2003;12;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Gew. Betr. 3*;2434;8081
2003;12;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;1792;7828
2003;12;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Gew. FEWO;252;1517
2003;12;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Priv. FEWO;455;2755
2003;12;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Privatquartiere;175;1016
2003;12;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Sonstige inkl. Camping;202;685
2003;12;Kärnten-Mitte;2003/04;WHJ;Gew. Betr. 2/1*;386;1284
2003;12;Kärnten-Mitte;2003/04;WHJ;Gew. Betr. 3*;774;2462
