Jahr;Tourismushalbjahr;Tourismusregion;Unterkunft;Art;Anzahl
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Bewirtschaftete Schutzhütten;Betriebe;5
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Bewirtschaftete Schutzhütten;Betten;46
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Bewirtschaftete Schutzhütten;Zimmer;0
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Bewirtschaftete Schutzhütten;Zusatzbetten;20
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Campingplatz;Betriebe;22
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Campingplatz;Betten;9425
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Campingplatz;Zimmer;0
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Campingplatz;Zusatzbetten;0
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Ferienwohnung (priv.) auf Bauernhof;Betriebe;68
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Ferienwohnung (priv.) auf Bauernhof;Betten;532
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Ferienwohnung (priv.) auf Bauernhof;Zimmer;0
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Ferienwohnung (priv.) auf Bauernhof;Zusatzbetten;64
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Ferienwohnung (priv.) n. auf Bauernhof;Betriebe;1057
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Ferienwohnung (priv.) n. auf Bauernhof;Betten;6120
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Ferienwohnung (priv.) n. auf Bauernhof;Zimmer;0
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Ferienwohnung (priv.) n. auf Bauernhof;Zusatzbetten;643
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Beherb.betriebe 2 bzw. 1*;Betriebe;171
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Beherb.betriebe 2 bzw. 1*;Betten;3247
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Beherb.betriebe 2 bzw. 1*;Zimmer;1502
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Beherb.betriebe 2 bzw. 1*;Zusatzbetten;123
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Beherb.betriebe 3 *;Betriebe;193
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Beherb.betriebe 3 *;Betten;5929
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Beherb.betriebe 3 *;Zimmer;2784
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Beherb.betriebe 3 *;Zusatzbetten;235
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Betriebe;48
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Betten;3912
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Zimmer;1978
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Zusatzbetten;385
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Ferienwohnung bzw. -haus;Betriebe;108
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Ferienwohnung bzw. -haus;Betten;3621
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Ferienwohnung bzw. -haus;Zimmer;1142
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Gewerbl. Ferienwohnung bzw. -haus;Zusatzbetten;290
